iter	Passed	Remaining
455	843	1006
456	845	1004
457	847	1003
458	849	1001
459	851	999
460	853	997
461	855	995
462	857	994
463	859	993
464	861	991
465	863	989
466	865	987
467	867	985
468	869	984
469	871	982
470	872	980
471	875	979
472	877	977
473	878	975
474	880	972
475	881	970
476	883	969
477	885	967
478	887	964
479	888	962
480	890	960
481	891	958
482	893	956
483	895	955
484	897	953
485	899	951
486	901	949
487	903	947
488	905	946
489	907	944
490	909	942
491	910	940
492	912	938
493	914	937
494	916	935
495	918	933
496	920	931
497	921	929
498	923	927
499	925	925
500	928	924
501	929	922
502	931	920
503	933	919
504	935	917
505	937	915
506	939	913
507	942	912
508	944	910
509	945	908
510	947	906
511	949	904
512	951	902
513	952	901
514	954	899
515	956	897
516	958	895
517	960	893
518	961	891
519	963	889
520	965	887
521	967	885
522	969	884
523	971	882
524	973	880
525	974	878
526	976	876
527	978	875
528	980	873
529	983	871
530	985	870
531	987	868
532	989	866
533	991	864
534	993	863
535	994	861
536	996	859
537	998	857
538	999	855
539	1001	853
540	1003	851
541	1004	849
542	1007	847
543	1008	845
544	1010	843
545	1012	841
546	1013	839
547	1015	837
548	1016	835
549	1019	833
550	1021	832
551	1023	830
552	1025	828
553	1026	826
554	1028	824
555	1030	822
556	1032	820
557	1033	818
558	1035	816
559	1037	814
560	1038	812
561	1040	810
562	1042	809
563	1043	806
564	1045	805
565	1047	803
566	1049	801
567	1050	799
568	1052	797
569	1054	795
570	1055	793
571	1057	791
572	1059	789
573	1061	787
574	1062	785
575	1064	783
576	1066	781
577	1068	779
578	1069	777
579	1071	775
580	1073	773
581	1074	772
582	1076	770
583	1079	768
584	1080	766
585	1082	764
586	1084	762
587	1085	760
588	1087	758
589	1089	757
590	1091	755
591	1092	753
592	1094	751
593	1096	749
594	1098	747
595	1099	745
596	1101	743
597	1103	741
598	1105	739
599	1107	738
600	1109	736
601	1111	734
602	1112	732
603	1114	730
604	1117	729
605	1118	727
606	1120	725
607	1122	723
608	1124	721
609	1126	719
610	1127	718
611	1129	716
612	1131	714
613	1133	712
614	1135	710
615	1137	708
616	1138	706
617	1140	705
618	1142	703
619	1144	701
620	1146	699
621	1148	697
622	1149	695
623	1151	693
624	1153	692
625	1155	690
626	1157	688
627	1159	686
628	1162	685
629	1164	683
630	1165	681
631	1167	679
632	1168	677
633	1170	675
634	1172	673
635	1174	671
636	1175	669
637	1177	668
638	1178	666
639	1180	664
640	1182	662
641	1184	660
642	1185	658
643	1187	656
644	1189	654
645	1190	652
646	1192	650
647	1194	648
648	1195	646
649	1197	644
650	1199	643
651	1201	641
652	1202	639
653	1204	637
654	1206	635
655	1208	633
656	1209	631
657	1211	629
658	1213	627
659	1215	625
660	1216	624
661	1218	622
662	1220	620
663	1222	618
664	1224	616
665	1225	614
666	1227	612
667	1229	611
668	1231	609
669	1233	607
670	1235	605
671	1236	603
672	1238	601
673	1240	600
674	1242	598
675	1244	596
676	1246	594
677	1248	592
678	1249	590
679	1251	589
680	1253	587
681	1255	585
682	1256	583
683	1258	581
684	1260	579
685	1261	577
686	1264	575
687	1265	574
688	1267	572
689	1269	570
690	1271	568
691	1272	566
692	1274	564
693	1276	562
694	1278	560
695	1280	559
696	1282	557
697	1283	555
698	1285	553
699	1287	551
700	1289	550
701	1291	548
702	1293	546
703	1294	544
704	1296	542
705	1298	540
706	1299	538
707	1301	536
708	1303	534
709	1305	533
710	1306	531
711	1308	529
712	1310	527
713	1311	525
714	1313	523
715	1315	521
716	1317	519
717	1319	518
718	1320	516
719	1322	514
720	1324	512
721	1326	510
722	1328	508
723	1329	506
724	1331	505
725	1333	503
726	1334	501
727	1336	499
728	1338	497
729	1340	495
730	1341	493
731	1343	491
732	1345	490
733	1347	488
734	1348	486
735	1350	484
736	1352	482
737	1353	480
738	1355	478
739	1357	476
740	1359	475
741	1360	473
742	1362	471
743	1364	469
744	1365	467
745	1367	465
746	1369	463
747	1370	461
748	1372	459
749	1374	458
750	1376	456
751	1378	454
752	1379	452
753	1381	450
754	1383	448
755	1384	446
756	1386	445
757	1388	443
758	1389	441
759	1391	439
760	1393	437
761	1395	435
762	1396	433
763	1398	432
764	1400	430
765	1401	428
766	1403	426
767	1405	424
768	1407	422
769	1409	420
770	1410	419
771	1412	417
772	1414	415
773	1415	413
774	1417	411
775	1419	409
776	1420	407
777	1422	405
778	1424	404
779	1426	402
780	1428	400
781	1429	398
782	1431	396
783	1433	394
784	1435	393
785	1437	391
786	1438	389
787	1440	387
788	1442	385
789	1444	383
790	1446	382
791	1447	380
792	1449	378
793	1451	376
794	1453	374
795	1455	373
796	1457	371
797	1459	369
798	1461	367
799	1464	366
800	1466	364
801	1468	362
802	1469	360
803	1471	358
804	1474	357
805	1476	355
806	1478	353
807	1479	351
808	1481	349
809	1483	347
810	1485	346
811	1487	344
812	1488	342
813	1491	340
814	1492	338
815	1494	337
816	1497	335
817	1498	333
818	1500	331
819	1502	329
820	1503	327
821	1505	326
822	1507	324
823	1509	322
824	1510	320
825	1512	318
826	1514	316
827	1516	315
828	1518	313
829	1519	311
830	1521	309
831	1523	307
832	1525	305
833	1526	303
834	1528	302
835	1530	300
836	1531	298
837	1533	296
838	1535	294
839	1536	292
840	1538	290
841	1540	288
842	1541	287
843	1543	285
844	1545	283
845	1546	281
846	1548	279
847	1549	277
848	1551	275
849	1553	274
850	1555	272
851	1556	270
852	1558	268
853	1559	266
854	1561	264
855	1563	262
856	1565	261
857	1567	259
858	1569	257
859	1571	255
860	1572	253
861	1574	252
