iter	Logloss
0	0.6889102357
1	0.6848632843
2	0.6810078781
3	0.6769536683
4	0.673107793
5	0.6697288855
6	0.6662951186
7	0.6631046596
8	0.6603602875
9	0.6570488036
10	0.6547427902
11	0.6520058282
12	0.6495841226
13	0.6474282744
14	0.6453678388
15	0.6434755887
16	0.6411432689
17	0.6395225611
18	0.6376551721
19	0.6362592633
20	0.6345855049
21	0.6331135859
22	0.6313564605
23	0.6298465107
24	0.6284574872
25	0.6269998044
26	0.6258505384
27	0.6247223244
28	0.6233344141
29	0.6223820565
30	0.621289554
31	0.6201842462
32	0.6191024273
33	0.6185364745
34	0.617679901
35	0.6167738492
36	0.6159969782
37	0.6150201513
38	0.6140393793
39	0.6132782787
40	0.6127079003
41	0.6120772107
42	0.6114197232
43	0.6105230924
44	0.6098612695
45	0.6091673484
46	0.6086213781
47	0.6079989017
48	0.6074267881
49	0.6069479774
50	0.606358552
51	0.6056933789
52	0.6051749414
53	0.6049025266
54	0.6043429025
55	0.6038836354
56	0.6033257035
57	0.6029181717
58	0.6024368894
59	0.6019857423
60	0.601568896
61	0.6010443292
62	0.6005426962
63	0.600098314
64	0.5997951669
65	0.5993779221
66	0.5990268196
67	0.5986352744
68	0.5981650011
69	0.5978051615
70	0.5974694645
71	0.5971546841
72	0.5968513525
73	0.5964564932
74	0.5961294726
75	0.5958110645
76	0.5955045996
77	0.5953189676
78	0.5950635087
79	0.594790032
80	0.5945090209
81	0.5941964093
82	0.5938769102
83	0.5935954408
84	0.593256715
85	0.5929653801
86	0.5927786986
87	0.5925006255
88	0.5922368383
89	0.5919894109
90	0.5917578253
91	0.5915434373
92	0.5913391127
93	0.5911228724
94	0.5909075818
95	0.5905935033
96	0.5904038314
97	0.5901830991
98	0.5900306691
99	0.5897599879
100	0.5894473783
101	0.5892123549
102	0.5889815921
103	0.5887845165
104	0.588636862
105	0.5884985001
106	0.5884188754
107	0.5882784406
108	0.5880373555
109	0.5878062793
110	0.5876573788
111	0.5874557456
112	0.5872835795
113	0.5871444176
114	0.5870298262
115	0.5868505743
116	0.586627723
117	0.5864075372
118	0.5861064021
119	0.5859195345
120	0.5856984363
121	0.5854668393
122	0.585277209
123	0.5850835371
124	0.5848999576
125	0.5846601306
126	0.5845569186
127	0.5843892329
128	0.5842031841
129	0.5840730893
130	0.5839647795
131	0.5837486923
132	0.5836038829
133	0.5833903878
134	0.5832651263
135	0.58311327
136	0.5828348406
137	0.5827050438
138	0.5825343937
139	0.582445748
140	0.5823380111
141	0.5822146333
142	0.5821175696
143	0.5819982141
144	0.5817978129
145	0.5815614589
146	0.5814258475
147	0.5812157091
148	0.5810496946
149	0.5809004772
150	0.580748624
151	0.5806278161
152	0.5804938509
153	0.580375782
154	0.5801774857
155	0.5800120815
156	0.5798654063
157	0.5797225417
158	0.5795749726
159	0.5793476653
160	0.5791618347
